city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand,services
Shenzhen,Nanyang Inn (OCT Gankeng Ancient Town Branch),,22.65457,114.105951,,,231,,,Mountain View Room
Shenzhen,Shenzhen Yi Duoduo Hotel (Bao'an Gymnasium Branch),,22.563369,113.876837,,,502,,,Parking Lot
Shenzhen,Tomorrow Hotel (Shenzhen Bao'an International Airport Huangtian Metro Station Branch),,22.624025,113.849305,,,242,,,Free Parking
Shenzhen,Shenzhen Meijing Yayue Hotel,"Shenzhen Meijing Yayue Hotel (Shenzhen North Station Branch), Longhua District, Shenzhen, Guangdong Province",22.615968,114.025099,,,250,,,Free Parking
Shenzhen,Yaste International Hotel (Shenzhen Bao'an International Airport Branch),"No. 8 Shengtai Road, Sanwei Community, Hangcheng Street, Bao'an District, Shenzhen, Guangdong Province",22.613827,113.841877,,,257,4.5,,Free Parking
Shenzhen,Tingbo Hotel (Shenzhen Bao'an Airport Gushu Metro Station Branch),"Zheng Ri Hao Commercial Building, Hangkong Road, Hangcheng Street, Bao'an District, Shenzhen, Guangdong Province",22.604176,113.835692,,,263,4.9,,Free Parking
Shenzhen,Shenzhen Yuehai Hotel (Nanshan Science and Technology Park Branch),,22.538872,113.923637,,,265,,,Free Parking
Shenzhen,Kyriad Hotel (Shenzhen Longhua Dalang Commercial Center Branch),"No. 70 Longguan Expressway, Longhua District, Shenzhen, Guangdong Province",22.66764,114.003522,,,273,4.8,,Free Parking
Shenzhen,Meiqiu M Hotel (Nantou Ancient City Daxin Metro Station Branch),"No. 134 Nantou Street, Nanshan District, Shenzhen, Guangdong Province",22.537145,113.916478,,,276,4.7,,Butler Service
Shenzhen,Zhonghui Youya Hotel (Shenzhen Nanshan Science and Technology Park Branch),,22.531952,113.929786,,,277,,,Free Parking
Shenzhen,Li Yi Hotel (Shenzhen International Convention and Exhibition Center Tangwei Metro Station Branch),"Floors 8-12, Xintian Building, No. 6 Fengtang Avenue, Fuyong Street, Bao'an District, Shenzhen, Guangdong Province",22.695798,113.828856,,,278,4.3,,Free Parking
Shenzhen,Vienna International Hotel (Shenzhen Qianhai Happy Harbor Branch),"No. 8 Xingye Road, Bao'an District, Shenzhen, Guangdong Province",22.559939,113.865324,,,278,4.5,Vienna,Gym
Shenzhen,Fei Hotel (Shenzhen North Station Renmin Road Branch),,22.635814,114.025951,,,279,,,EV Charging Station
Shenzhen,Shenzhen Pengwei Hotel,"1st Floor, Pengwei Building, No. 15 Hongbao Road, Luohu District, Shenzhen, Guangdong Province",22.546289,114.109344,,,286,4.1,,Free Parking
Shenzhen,Vienna Good Sleep International Hotel (Shenzhen New Airport Flagship Store),,22.622796,113.836519,,,288,,,Multi-function Hall
Shenzhen,Dongguan Wange Hotel (Chang'an Wanda Plaza Branch),,22.810798,113.81288,,,289,,,Free Parking
Shenzhen,Shenzhen Ruifana Hotel (Bao'an Pingzhou Metro Station Branch),"No. 185 Xinhu Road, Bao'an District, Shenzhen, Guangdong Province (210 meters walk from Exit C of Pingzhou Metro Station)",22.570399,113.868388,,,289,4.2,,Free Parking
Shenzhen,Green East Hotel (Shenzhen Pinghu China South City Hetao Metro Station Branch),"No. 1 Huanna Avenue, Hetao Community, Pinghu Street, Longgang District, Shenzhen, Guangdong Province",22.682892,114.121834,,,293,4.7,,Free Parking
Shenzhen,Shenzhen Nanshan Daxin Metro Station Hanhao Hotel,"No. 160 Taoyuan Road, Nanshan District, Shenzhen, Guangdong Province (50 meters walk from Exit A of Daxin Metro Station)",22.532639,113.916449,,,293,4.8,,Audio-Visual Room
Shenzhen,Qiuguo Hotel (Shenzhen Nanshan Nanxin Road Branch),,22.530565,113.919105,,,294,,,Family Room
Shenzhen,Hisea Hotel (Shenzhen Luohu Dongmen Branch),"Hisea Hotel (Shenzhen Luohu Dongmen Yitian Holiday Plaza Branch), No. 2001 Wenjin Middle Road, Luohu District, Shenzhen, Guangdong Province",22.550278,114.130316,,,295,,,Free Parking
Shenzhen,Youfan Hotel (Shenzhen Bao'an Center Fanshen Metro Station Branch),,22.55947,113.89607,,,298,,,Butler Service
Shenzhen,Shenzhen Futian Huaqiangbei Qiuguo Hotel,,22.563777,114.099844,,,298,,,Family Room
Shenzhen,Elong Hotel (Shenzhen China South City Branch),"300 meters northwest of the intersection of Ping'an Avenue and Liangbai Road, Longgang District, Shenzhen, Guangdong Province",22.667588,114.144133,,,302,,,Audio-Visual Room
Shenzhen,Chengguo Hotel (Qianhai Bao'an Center Branch),,22.556861,113.898294,,,303,,,Family Room
Shenzhen,Dunhill Hotel (Shekou Huaguoshan Metro Station Branch),,22.495659,113.918383,,,309,,,Free Parking
Shenzhen,Zhonghao Yueji Hotel (Shenzhen Bao'an Center Xixiang Branch),"No. 228 Xixiang Avenue, Bao'an District, Shenzhen, Guangdong Province",22.582756,113.874119,,,310,4.7,,Free Parking
Shenzhen,Shenzhen Bao'an Fanshen Road Qiuguo Hotel,,22.556326,113.900691,,,312,,,Free Parking
Shenzhen,Jinjiang Metropolo Hotel (Shenzhen Longgang Central City Longcheng Square Branch),"No. 1 Changxing North Road, Longgang District, Shenzhen, Guangdong Province (290 meters walk from Exit D of Shangjing Metro Station)",22.730705,114.243158,,,314,4.3,Jinjiang,Free Parking
Shenzhen,Vienna International Hotel (Shenzhen Baolong Metro Station Branch),,22.695312,114.290971,,,318,,,Robot Service
Shenzhen,Pengke Boutique Hotel (Shenzhen Coast City Technology Park Branch),,22.514029,113.934497,,,318,,,Free Parking
Shenzhen,Shenzhen Century Garden Hotel (Nanshan Technology Park Branch),"No. 118-5 Shahe East Road, Shahe Street, Nanshan District, Shenzhen, Guangdong Province",22.534199,113.964544,,,325,4.3,,Gym
Shenzhen,Nanxianglou Art Hotel (OCT Gankeng Ancient Town Branch),,22.657457,114.103391,,,328,,,Multi-function Hall
Shenzhen,Amigo Mige Sleep Hotel (Longhua Guanlan Branch),,22.721847,114.034594,,,331,,,Free Parking
Shenzhen,Bodden Meijin Hotel (Shenzhen Nanshan Xili Metro Station Branch),"Intersection of Liuxian Avenue and Shahe Xili Road, Nanshan District, Shenzhen, Guangdong Province",22.581022,113.953854,,,331,4.7,,Parking Lot
Shenzhen,Licheng Langyu Hotel (Shenzhen Longgang Central Dayun New City Branch),"1st Floor, Building A, Mingde Building, Building 9, Jixiangli Haoting, Longgang District, Shenzhen, Guangdong Province",22.722441,114.221198,,,335,4.6,,Free Parking
Shenzhen,Yingshe Light Luxury S Hotel (Shenzhen Shekou Sea World Metro Station Branch),"North Gate, New Era Plaza, No. 1 Taizi Road, Zhaoshang Street, Nanshan District, Shenzhen, Guangdong Province",22.482591,113.91326,,,336,4.4,,Mountain View Room
Shenzhen,Huayi Hotel (Shenzhen Bao'an Pingzhou Metro Station Branch),"No. 3075 Bao'an Avenue, Bao'an District, Shenzhen, Guangdong Province",22.573949,113.871677,,,338,4.6,,Free Parking
Shenzhen,Orange Hotel (Shenzhen Bao'an Haiya Bin Fen City Branch),"No. 250-1 Jian'an 1st Road, Bao'an District, Shenzhen, Guangdong Province",22.564172,113.904325,,,338,4.7,Orange Hotel,Parking Lot
