restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Jinya Garden Restaurant (Ersha Island Branch),Guangzhou,88.0,Sports and Leisure Services; Leisure Venues; Leisure Venues,11:00,21:00,Xinghai Concert Hall,4.2,Outdoor seating; Private rooms available; Birthday set meal service; Online queueing
The Eating Table (Goode Plaza Winter Branch),Guangzhou,187.0,Sports and leisure services; Entertainment venues; Bars | Dining services; Chinese restaurant; Chinese restaurant,11:30,22:00,Huacheng Square,4.6,Waiting area available; Outdoor seating; Online queueing
Music bistro,Guangzhou,100.0,Sports and leisure services; Entertainment venues; Bars | Dining services; Dining-related venues; Dining-related,11:00,21:00,Zhujiang Park,4.2,Must-Eat List Top 10; Online queueing; Outdoor seating; Birthday set meal service
Oriental Hotel - Coffee Mill Buffet (Guangzhou Oriental Hotel Branch),Guangzhou,250.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Museum of the Nanyue Kings (Royal Tomb Exhibition Area),4.1,Private rooms available; Online queueing; Waiting area available; Birthday set meal service
Guangsheng Holding No. Dolphin Cruise Restaurant,Guangzhou,294.0,Catering Services; Chinese Restaurant; Chinese Restaurant,18:00,22:00,Pearl River Night Cruise,3.8,Outdoor Seating; Must-Eat List Top 10; Online Queue Number
Liangcheng Shengyan Restaurant,Guangzhou,433.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Whampoa Military Academy Memorial Hall,4.6,Online queueing; Private rooms available; Birthday set meal service
Jianji Noodle Shop (Yi Fu Noodles),Guangzhou,11.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:30,20:00,Shangxiajiu Pedestrian Street,4.3,Waiting area available; Private rooms available; Birthday set meals; Must-Eat List Top 10
"Staff Canteen, Guangdong Provincial People's Hospital",Guangzhou,16.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,18:30,Former Site of the All-China Federation of Trade Unions,3.9,Private rooms available; Birthday set meals; Outdoor seating
Yue Weidao (Jiefang North Road Branch),Guangzhou,40.0,Catering Services;Chinese Restaurant,11:00,20:30,Sun Yat-sen Memorial Hall,4.2,Must-Eat List Top 10;Private rooms available;Online queueing;Birthday set meal service;Waiting area available
Yingfengge Chinese Restaurant,Guangzhou,72.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:30,22:00,Guangzhou Sports Culture Museum,4.2,Private rooms available; Waiting area available; Birthday set meal service; Online queueing
Muke Huafang (Beijing Road Branch),Guangzhou,75.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:30,21:30,Beijing Road Pedestrian Street,4.8,Waiting Area Available
Dian Dou De (Beijing Road No. 2 Branch),Guangzhou,60.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:30,21:00,Huaisheng Mosque,4.7,Outdoor seating; Online queueing; Waiting area available; Birthday set meal service; Private rooms available; Must-Eat List Top 10
Hui Jiuxiang Restaurant (Hefei South Railway Station Branch),Guangzhou,22.0,Catering Services; Chinese Restaurant; Chinese Restaurant,06:00,23:00,Guifeng Village,4.5,Private rooms available; Waiting area available; Birthday set meal service
Mubujiji Smelted Mandarin Fish · Anhui Intangible Cultural Heritage Dish (Train Station Xindi Branch),Guangzhou,73.0,Catering Services; Chinese Restaurant; Chinese Restaurant,16:00,22:00,Guifeng Village,4.0,Waiting Area Available; Online Queue Number; Outdoor Seating
Shiban Street HK & Macau Restaurant (Wanlinghui Branch),Guangzhou,62.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,22:00,Grandview Polar Ocean World,4.4,Must-Eat List Top 10
Minghui Restaurant,Guangzhou,26.0,Catering Services; Chinese Restaurant; Chinese Restaurant,07:00,20:00,Sun Yat-sen University (South Campus),4.1,Waiting area available; Birthday set meal service; Outdoor seating; Must-Eat List Top 10
Xianggeming Restaurant (Zhongzhou Center Branch),Guangzhou,15.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,20:00,Poly World Trade Expo Center,4.0,Must-Eat List Top 10; Online Queue Number; Private Rooms Available; Birthday Set Meal Service
Yihong Huanle Restaurant,Guangzhou,26.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,19:00,Guangdong Museum,4.0,Must-Eat List Top 10; Waiting area available; Private rooms available; Outdoor seating; Birthday set meal service
Yueshifang Vegetarian Restaurant,Guangzhou,65.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,20:30,Sun Yat-sen University (South Campus),4.7,Online queueing; Private rooms available; Outdoor seating
Cunzhong Restaurant,Guangzhou,52.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Pearl River Night Cruise Convention and Exhibition Center Pier,4.7,Birthday set meal service; Outdoor seating; Private rooms available
Yaxin Cuisine (Jincheng Plaza Branch),Guangzhou,15.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,Guangzhou Folklore Museum,4.2,Must-Eat List Top 10; Online queueing; Outdoor seating
Yuexiangyuan HK-style Chinese Restaurant,Guangzhou,47.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:30,Puzhou Garden,4.0,Outdoor seating; Waiting area available
Weiyuan Restaurant (Shadong Branch),Guangzhou,19.0,Catering Services; Chinese Restaurant; Chinese Restaurant,05:30,15:00,Guangzhou Ocean Museum,3.9,Birthday set meal service; Outdoor seating; Private rooms available
Khushboo Restaurant,Guangzhou,52.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,21:00,Guangzhou Orchid Park,4.0,Must-Eat List Top 10; Private rooms available; Waiting area available
Ma Ji Tea Stall (Link REIT Zhujiang New Town Branch),Guangzhou,35.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:30,21:00,Zhujiang Park,4.5,Waiting Area; Birthday Set Meal Service; Outdoor Seating; Online Queue Number
Shangyefang Coconut Chicken Theme Restaurant,Guangzhou,73.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Liugeng Hall,4.3,Outdoor seating; Online queueing
Haiguanglou Cantonese Restaurant,Guangzhou,76.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:30,Aiqun Building,4.1,Must-Eat List Top 10; Online queueing; Private rooms available
Staff Center Restaurant (NIO Advanced Manufacturing Xinqiao Factory 2),Guangzhou,19.0,Catering Services; Chinese Restaurant; Chinese Restaurant,07:00,18:00,Guifeng Village,4.5,Private rooms available; Online queueing
Dian Dou De (Jufu Lou),Guangzhou,65.0,Catering Services; Chinese Restaurant; Chinese Restaurant,17:00,21:00,"Sacred Heart Cathedral, Guangzhou",4.8,Birthday set meal service
Chui Wa Restaurant (Grandview Mall Branch),Guangzhou,73.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,21:30,Grandview Mall,4.5,Waiting area available; Private rooms available; Online queueing; Outdoor seating; Birthday set meal service
Yuanfeng Tea Restaurant (Panyu Meiya Characteristic Food Street Branch),Guangzhou,15.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Wanbo Center,4.0,Private rooms available; Waiting area available; Online queueing
8 Dao Boutique Cantonese Restaurant & Bar,Guangzhou,72.0,Catering Services; Chinese Restaurant; Chinese Restaurant,11:00,01:00,Pearl River Night Cruise Dashatou Pier,4.3,Must-Eat List Top 10; Online queueing
Demashike Light Music Restaurant,Guangzhou,77.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,23:30,Liuhua Lake Park,4.2,Private rooms available; Waiting area available
Weishui Da Cha Fan (Haiyin Photography City Branch),Guangzhou,34.0,Catering Services; Chinese Restaurant; Chinese Restaurant,09:00,21:00,Pearl River Night Cruise,4.2,Must-Eat List Top 10; Private rooms available; Waiting area available; Birthday set meal service
Wanxihong Sichuan & Cantonese Restaurant,Guangzhou,31.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:00,23:00,Xiaopingyuan Leisure Science and Education Farm,4.2,Must-Eat List Top 10; Private rooms available
Feimao Tea Restaurant (Huachenghui Central Zone Branch),Guangzhou,65.0,Catering Services; Chinese Restaurant; Chinese Restaurant,10:30,21:00,Huacheng Square,4.5,Waiting area available; Outdoor seating; Birthday set meal service; Online queueing
