city,attraction_name,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price,popularity_tags,crowd_risk,queue_risk,peak_crowd_windows
Shenzhen,Window of the World,,Amusement Park/Sports & Entertainment,,22.540746,113.979399,,09:30,21:30,,2.0,3.0,115.0,classic_hotspot;photo_spot;night_hotspot;family_hotspot,high,high,weekend;holiday;evening;school_holiday
Shenzhen,Window of the World and Folk Culture Village,,Cultural Tourism Zone,,22.537131,113.995003,,10:00,21:00,,0.5,2.0,69.0,classic_hotspot;culture_hotspot;family_hotspot,high,high,weekend;holiday;school_holiday
Shenzhen,Shenzhen Ping An Finance Centre Sky Observation Deck,,Cultural Landscape,,22.538844,114.062186,,10:00,20:00,,0.5,1.5,180.0,photo_spot;night_hotspot;classic_hotspot,high,high,weekend;holiday;evening
Shenzhen,OCT Happy Valley Shenzhen,,Amusement Park/Sports & Entertainment,,22.548012,113.986939,,10:00,19:00,,0.5,1.5,130.0,classic_hotspot;family_hotspot;viral,high,high,weekend;holiday;school_holiday
Shenzhen,Shenzhen Safari Park,,Amusement Park/Sports & Entertainment,,22.602723,113.97699,,09:30,18:00,,1.5,2.0,99.0,family_hotspot,high,high,weekend;holiday;school_holiday
Shenzhen,OCT East,,Amusement Park/Sports & Entertainment,,22.632382,114.294208,,09:30,18:00,,1.0,2.0,200.0,classic_hotspot;family_hotspot;nature_hotspot,high,high,weekend;holiday;summer;school_holiday
Shenzhen,OCT Harbour,,Amusement Park/Sports & Entertainment,,22.550112,113.888645,,10:30,22:00,,1.0,2.0,0.0,viral;photo_spot;night_hotspot;shopping_hotspot,high,medium,weekend;holiday;evening;summer
Shenzhen,Dameisha Seaside Park,,Park,,22.598129,114.313955,,07:00,22:00,,2.0,2.5,0.0,classic_hotspot;nature_hotspot;family_hotspot,high,medium,weekend;holiday;summer;school_holiday
Shenzhen,China Merchants Shekou Cruise Home Port Tour,,Amusement Park/Sports & Entertainment,,22.474665,113.919967,,07:00,21:00,,2.0,3.0,0.0,,,,
Shenzhen,Diwang Observation Deck · Window to Shenzhen and Hong Kong,,Cultural Landscape,,22.54878,114.116522,,08:00,22:30,,2.0,3.0,79.0,,,,
Shenzhen,Greater Bay Area No. 1 (Hong Kong-Zhuhai-Macao Bridge Route),,Amusement Park/Sports & Entertainment,,22.474665,113.919967,,00:00,24:00,,2.0,3.0,0.0,,,,
Shenzhen,Rose Coast Cultural Tourism Resort,,Cultural Tourism Zone,,22.615927,114.383865,,00:00,24:00,,2.0,2.5,46.0,nature_hotspot;photo_spot;family_hotspot,high,medium,weekend;holiday;summer;school_holiday
Shenzhen,Shenzhen Bay Park,,Park,,22.524806,113.969405,,06:00,23:00,,3.0,4.0,0.0,classic_hotspot;nature_hotspot;photo_spot;night_hotspot,high,low,weekend;holiday;evening;summer
Shenzhen,Gankeng Old Town,,Cultural Tourism Zone,,22.663821,114.10953,,00:00,24:00,,3.0,4.0,26.0,viral;culture_hotspot;photo_spot;night_hotspot,high,medium,weekend;holiday;evening
Shenzhen,Xiaomeisha Resort,,Amusement Park/Sports & Entertainment,,22.60689,114.334468,,10:00,21:00,,0.5,2.0,45.0,family_hotspot;nature_hotspot,high,high,weekend;holiday;summer;school_holiday
